Restaurant_Name,LocalityCity
AB's - Absolute Barbecues,"Hinjawadi, Pune, India"
I Amsterdam,"Hinjawadi, Pune, India"
Flechazo,"Wakad, Pune, India"
Barbeque Nation - Sayaji Hotel,"Wakad, Pune, India"
BeHive,"Hinjawadi, Pune, India"
Barbeque Ville,"Wakad, Pune, India"
Tarsh Gastronomia,"Hinjawadi, Pune, India"
TTF - The Tenth Floor,"Baner, Pune, India"
The Barkhana,"Wakad, Pune, India"
Publiq,"Hinjawadi, Pune, India"
The Ruby Hilltop - Sunny's World,"Sus, Pune, India"
The FML Lounge,"Hinjawadi, Pune, India"
Spice Factory,"Hinjawadi, Pune, India"
The Urban Foundry,"Baner, Pune, India"
Universal Barbeque,"Hinjawadi, Pune, India"
Urbo,"Baner, Pune, India"
Darshan,"Baner, Pune, India"
Blu Grass,"Hinjawadi, Pune, India"
Tatva The Vegetarian Kitchen,"Wakad, Pune, India"
Agent Jack's,"Baner, Pune, India"
Linkin Barrel,"Baner, Pune, India"
Fly High,"Hinjawadi, Pune, India"
Thikana,"Hinjawadi, Pune, India"
Cuba Libre,"Wakad, Pune, India"
Ministry Of Barbeque,"Wakad, Pune, India"
Anna Idli,"Baner, Pune, India"
Azzurro,"Baner, Pune, India"
Gong,"Baner, Pune, India"
Marine Drive,"Hinjawadi, Pune, India"
Highland,"Baner, Pune, India"
Lad Restaurant,"Wakad, Pune, India"
Effingut Brewerkz,"Baner, Pune, India"
McDonald's,"Aundh, Pune, India"
Tatyancha Dhaba,"Baner, Pune, India"
Cafe Blu - Radisson Blu,"Hinjawadi, Pune, India"
Nawab Asia,"Baner, Pune, India"
True Tramm Trunk,"Aundh, Pune, India"
Madari - The Crazy Bar,"Baner, Pune, India"
Sigree,"Aundh, Pune, India"
Mezza 9,"Hinjawadi, Pune, India"
Mughal Mahal,"Hinjawadi, Pune, India"
Son Of A Gun,"Baner, Pune, India"
Green Park,"Baner, Pune, India"
FOMO,"Hinjawadi, Pune, India"
Rubabdaar,"Baner, Pune, India"
Apache High Street,"Baner, Pune, India"
Italy Via Punjab,"Baner, Pune, India"
Portico - Sayaji Hotel,"Wakad, Pune, India"
Desi Dhaba,"Hinjawadi, Pune, India"
The K Factory,"Baner, Pune, India"
Turque - Sayaji Hotel,"Wakad, Pune, India"
Rangla Punjab,"Pashan, Pune, India"
Frozen Monkey,"Hinjawadi, Pune, India"
Karolbaug The Dhaba,"Hinjawadi, Pune, India"
The Tasty Tiffin,"Baner, Pune, India"
Pink Turbann,"Aundh, Pune, India"
Falahaar,"Baner, Pune, India"
Lager Street - Lounge and Bar,"Balewadi, Pune, India"
Citrus Cafe - Lemon Tree Hotel,"Hinjawadi, Pune, India"
Over The Top - Radisson Blu,"Hinjawadi, Pune, India"
Fish On Dish,"Wakad, Pune, India"
Flute,"Wakad, Pune, India"
UFO Fries & Corn,"Wakad, Pune, India"
Upsouth,"Aundh, Pune, India"
Mealstory,"Hinjawadi, Pune, India"
TiffinGeek,"Wakad, Pune, India"
Maratha Samrat,"Baner, Pune, India"
Swig,"Baner, Pune, India"
Levit 8,"Aundh, Pune, India"
Mojo Pizza- 2X Toppings,"Hinjawadi, Pune, India"
Ya Basa-The Dhaba,"Baner, Pune, India"
MoMo Cafe - Courtyard By Marriott Pune Hinjawadi,"Hinjawadi, Pune, India"
WYNKK,"Baner, Pune, India"
"Incognito - Restaurant, Bar & Cafe","Baner, Pune, India"
Jashn E Punjab,"Baner, Pune, India"
Malgudi Station,"Baner, Pune, India"
Raasta Cafe,"Baner, Pune, India"
Fresh Bake,"Hinjawadi, Pune, India"
The Cloud Kitchen,"Baner, Pune, India"
Chinese Factory,"Wakad, Pune, India"
Area 51,"Baner, Pune, India"
KFC,"Hinjawadi, Pune, India"
Taaareef,"Aundh, Pune, India"
Shrinidhi's Hyderabadi Spice,"Aundh, Pune, India"
Bird Valley,"Wakad, Pune, India"
Late Lateef,"Aundh, Pune, India"
Piccadilly Cafe,"Baner, Pune, India"
Playboy Beer Garden,"Baner, Pune, India"
Origin Bistro,"Pashan, Pune, India"
Tea Trails Cafe,"Aundh, Pune, India"
L'Apicio,"Aundh, Pune, India"
Bantoos,"Baner, Pune, India"
Ostro Multi Cuisine Restaurant,"Hinjawadi, Pune, India"
Paratha King,"Hinjawadi, Pune, India"
Gourmet Union - World Cuisine and Bar,"Baner, Pune, India"
Cafe Hours Food & Bookstore Cafe,"Wakad, Pune, India"
Farmaaish,"Baner, Pune, India"
The IT City Bar-B-Q,"Hinjawadi, Pune, India"
Kadar Khan's Sheesha,"Baner, Pune, India"
7th Heaven,"Baner, Pune, India"
Hotel Vijay- The Taste Of Tamil Nadu,"Hinjawadi, Pune, India"
Ratri Yatri,"Aundh, Pune, India"
Bhairavee Pure Veg Restaurant,"Baner, Pune, India"
La Pizzeria,"Baner, Pune, India"
KSL Exprs,"Aundh, Pune, India"
KGN Xprs,"Wakad, Pune, India"
Mr Rabbit's Bar & Burrow,"Baner, Pune, India"
KSL Biryani House,"Aundh, Pune, India"
Post 91 - Infinity Rooftop Restaurant,"Baner, Pune, India"
Deewan Khana,"Balewadi, Pune, India"
A Taste Of Indore,"Wakad, Pune, India"
D'nozzo Chinese Food Hub,"Balewadi, Pune, India"
Zura Sizzler Kitchen,"Balewadi, Pune, India"
Five Fat Monks,"Baner, Pune, India"
Naayab,"Aundh, Pune, India"
Sai Kok-pa Chinese,"Baner, Pune, India"
Sarjaa,"Aundh, Pune, India"
Kafe Fusion,"Baner, Pune, India"
Kathputli - The Drunken Puppet,"Baner, Pune, India"
Buon Cibo- The Italian Cafe,"Baner, Pune, India"
Reddy's Biryani Zone,"Hinjawadi, Pune, India"
Wada Culture,"Baner, Pune, India"
Nirvighnam,"Balewadi, Pune, India"
The Havelii,"Baner, Pune, India"
Shaam-E-Awadh,"Aundh, Pune, India"
Chizzlers,"Pashan, Pune, India"
Savera Meals,"Baner, Pune, India"
KarolBaug- Dawat-e-Mehfil,"Aundh, Pune, India"
Genuine Broaster Chicken,"Baner, Pune, India"
Raqabdaars,"Aundh, Pune, India"
FatCook,"Baner, Pune, India"
Flying Duck Co.,"Baner, Pune, India"
The Blue Plate,"Aundh, Pune, India"
Andaground,"Baner, Pune, India"
The Flour Works,"Baner, Pune, India"
The Saucy Side,"Wakad, Pune, India"
Ambrosios,"Hinjawadi, Pune, India"
The Curious Restro Lounge,"Baner, Pune, India"
Zayka,"Balewadi, Pune, India"
Charcoal Eats,"Wakad, Pune, India"
The Good Bowl,"Baner, Pune, India"
Manali-Family Resto Bar,"Baner, Pune, India"
Brain Freeze Ice Cream & Desserts,"Baner, Pune, India"
Orion,"Baner, Pune, India"
Akhtarâ€™s Samosa,"Aundh, Pune, India"
Flavours of Hyderabad,"Baner, Pune, India"
Reddy's Alpha Biryani Point,"Hinjawadi, Pune, India"
Shortcuts - Quick Meals On The Go,"Hinjawadi, Pune, India"
DÃ©jÃ Vu Bistro,"Hinjawadi, Pune, India"
Masti Misal,"Baner, Pune, India"
MasalaBar,"Baner, Pune, India"
Waffle Bites,"Aundh, Pune, India"
EDGE Bar & Lounge,"Hinjawadi, Pune, India"
The Jalebi Point,"Wakad, Pune, India"
Desi Aroma,"Baner, Pune, India"
Chick N Serve,"Hinjawadi, Pune, India"
eSSSetrra,"Baner, Pune, India"
Cream Stone,"Baner, Pune, India"
Chapter Seven Skybar & Kitchen,"Wakad, Pune, India"
Reddy's Restaurant,"Balewadi, Pune, India"
Oye Kiddan,"Baner, Pune, India"
Khasbag Misal,"Baner, Pune, India"
Global Punjab,"Wakad, Pune, India"
Billy's BrewStirs,"Aundh, Pune, India"
The Quick Wok,"Baner, Pune, India"
Paratha King,"Wakad, Pune, India"
Cafe Roberto,"Baner, Pune, India"
Bhairavi,"Wakad, Pune, India"
Kimling,"Aundh, Pune, India"
We Idliwale,"Baner, Pune, India"
B Dazzld,"Wakad, Pune, India"
MomNom,"Baner, Pune, India"
Way Down South Restaurant,"Baner, Pune, India"
Tamil Nadu Restaurant,"Hinjawadi, Pune, India"
Rahul Restaurant & Bar,"Aundh, Pune, India"
Hari Om Juice Bar,"Baner, Pune, India"
Bebe Di Rasoi,"Wakad, Pune, India"
Mughal's Zaika,"Pashan, Pune, India"
Merazo,"Wakad, Pune, India"
B Box,"Balewadi, Pune, India"
Central Cafe - Shawarma and Burgers,"Hinjawadi, Pune, India"
Slounge - Lemon Tree Hotel,"Hinjawadi, Pune, India"
Kaka Halwai,"Aundh, Pune, India"
Flavours Street,"Baner, Pune, India"
Fabcafe,"Baner, Pune, India"
Terttulia Bistro,"Baner, Pune, India"
Vintage 7,"Aundh, Pune, India"
ALLEPPEESÂ® Kerala Restaurant,"Hinjawadi, Pune, India"
Amritsari,"Wakad, Pune, India"
Green Ways,"Wakad, Pune, India"
The Greedy Man Pizzeria & Bar,"Baner, Pune, India"
Shiv Paratha With Maya,"Wakad, Pune, India"
Polka Dots,"Aundh, Pune, India"
Ramdev Dhaba Pure Veg Family Restaurants,"Wakad, Pune, India"
Skewers Kebab CafÃ©,"Hinjawadi, Pune, India"
Swad Gomantak,"Wakad, Pune, India"
Talli Twist,"Wakad, Pune, India"
Rice Wise,"Baner, Pune, India"
Tiffina,"Wakad, Pune, India"
Amrita Pure Veg,"Baner, Pune, India"
Punjabi Amritsari Kulcha,"Wakad, Pune, India"
Wada By Hotel Gavran Tadka,"Pashan, Pune, India"
Mexican Maven,"Hinjawadi, Pune, India"
Odisha Hotel,"Wakad, Pune, India"
Caribbean Cafe,"Wakad, Pune, India"
The Lands End Cafe,"Wakad, Pune, India"
Wafflin' Around,"Aundh, Pune, India"
De Baillio,"Baner, Pune, India"
Dakkhan Spice,"Wakad, Pune, India"
Via Indore,"Wakad, Pune, India"
Ignite - Courtyard By Marriott Pune Hinjawadi,"Hinjawadi, Pune, India"
Eatsome,"Baner, Pune, India"
The Long Bar,"Wakad, Pune, India"
Raavsaab,"Sus, Pune, India"
BBQ Ride India,"Wakad, Pune, India"
Panchavati Gaurav,"Baner, Pune, India"
Yaa Rawaji - Fantastic Food,"Baner, Pune, India"
Mother's Kitchen,"Hinjawadi, Pune, India"
XOzero,"Sus, Pune, India"
Master Egg,"Baner, Pune, India"
Dadu's Sweet Emporio,"Baner, Pune, India"
Banjaras Homely Kitchen,"Pashan, Pune, India"
Neer Southern Kitchen & Bar,"Wakad, Pune, India"
Krunch,"Baner, Pune, India"
How I Mangalore,"Pashan, Pune, India"
The Pasta Bistro,"Balewadi, Pune, India"
Skittles - The Sports Bar,"Wakad, Pune, India"
Overloaded,"Wakad, Pune, India"
K,"Aundh, Pune, India"
Buzz - Vivanta Pune,"Hinjawadi, Pune, India"
Cafe Maroo,"Aundh, Pune, India"
The London Shakes,"Wakad, Pune, India"
DV's Pizza,"Hinjawadi, Pune, India"
Post 91 - Goldmine Buffet,"Baner, Pune, India"
Sigree,"Wakad, Pune, India"
Cafe DIP,"Aundh, Pune, India"
CnP House - Chicken And Paratha,"Pashan, Pune, India"
Squeezo Foods,"Wakad, Pune, India"
Rolls Eat,"Balewadi, Pune, India"
Adraq,"Wakad, Pune, India"
Patang,"Baner, Pune, India"
Idlicious,"Baner, Pune, India"
Down Town Multi Cuisine Restaurant,"Wakad, Pune, India"
Supperyum Court,"Baner, Pune, India"
The Funky Kona,"Baner, Pune, India"
Ai Shiwu,"Hinjawadi, Pune, India"
Kakke Da Paratha,"Hinjawadi, Pune, India"
Bombay Bites & Creams,"Hinjawadi, Pune, India"
Giridhar,"Aundh, Pune, India"
Kekiz The Cake Shop,"Hinjawadi, Pune, India"
High On Bollywood Restaurant & Bar,"Wakad, Pune, India"
Kohli's Firangi Dhaba,"Hinjawadi, Pune, India"
Saffron Multi-Cuisine & Sea Food Restaurant,"Pashan, Pune, India"
Om Namo Snacks,"Wakad, Pune, India"
Godavari Ruchulu,"Hinjawadi, Pune, India"
Ashapuri Dining Hall,"Aundh, Pune, India"
Angaar,"Wakad, Pune, India"
Kalyan Bhel,"Baner, Pune, India"
"I'm Lion, Strictly Non-Veg","Baner, Pune, India"
Mithas,"Aundh, Pune, India"
Two Sticks,"Balewadi, Pune, India"
Prasanna Pure Veg,"Pashan, Pune, India"
Kulfi House,"Balewadi, Pune, India"
Queen's Maggie Fries,"Hinjawadi, Pune, India"
Mr. Paratha,"Wakad, Pune, India"
Veda's Cafe & Tandoor House,"Hinjawadi, Pune, India"
Cafe Royal Villa,"Wakad, Pune, India"
Lazziz - The Hyderabad house,"Hinjawadi, Pune, India"
Chilled Affair,"Wakad, Pune, India"
Hotel Mahabaleshwar,"Baner, Pune, India"
Caffa,"Baner, Pune, India"
Sai Sagar,"Baner, Pune, India"
Belleza,"Wakad, Pune, India"
Lucknow Spice,"Baner, Pune, India"
Urban Hippies,"Wakad, Pune, India"
Happy High Cafe,"Baner, Pune, India"
Burger Day,"Wakad, Pune, India"
Wings House,"Hinjawadi, Pune, India"
The East,"Baner, Pune, India"
Hotel Gayatri,"Aundh, Pune, India"
Baisakhi Flavour of Punjab,"Wakad, Pune, India"
Pagdandi Books Chai Cafe,"Baner, Pune, India"
Kerala Restaurant,"Aundh, Pune, India"
69 Only,"Baner, Pune, India"
Master of Momos,"Wakad, Pune, India"
Mr. Vandal,"Baner, Pune, India"
Tipzo,"Pashan, Pune, India"
Box Din By Barbeque Ville,"Wakad, Pune, India"
Apyayan,"Aundh, Pune, India"
Aaoji Khhaoji - The Veg Bar,"Hinjawadi, Pune, India"
Pune Egg Cafe,"Wakad, Pune, India"
